player,runs,balls,maiden,4s,6s,sr,match,team
Simi Singh,0,1,1,0,0,0.00,Zimbabwe vs Ireland,Ireland
Barry McCarthy,22,16,23,1,2,137.50,Zimbabwe vs Ireland,Ireland
Josh Little,7,11,17,1,0,63.63,Zimbabwe vs Ireland,Ireland
Michael van Lingen,20,19,20,3,0,105.26,Namibia vs Netherlands,Namibia
Divan la Cock,0,2,5,0,0,0.00,Namibia vs Netherlands,Namibia
Stephan Baard,19,22,46,0,0,86.36,Namibia vs Netherlands,Namibia
Jan Nicol Loftie-Eaton,0,2,3,0,0,0.00,Namibia vs Netherlands,Namibia
Jan Frylinck,43,48,63,1,1,89.58,Namibia vs Netherlands,Namibia
Gerhard Erasmus (c),16,18,37,0,0,88.88,Namibia vs Netherlands,Namibia
David Wiese,11,5,8,1,0,220.00,Namibia vs Netherlands,Namibia
JJ Smit,5,4,6,1,0,125.00,Namibia vs Netherlands,Namibia
Max O'Dowd,35,35,59,1,1,100.00,Namibia vs Netherlands,Netherlands
Vikramjit Singh,39,31,37,3,2,125.80,Namibia vs Netherlands,Netherlands
Bas de Leede,30,30,51,2,0,100.00,Namibia vs Netherlands,Netherlands
Tom Cooper,6,6,7,1,0,100.00,Namibia vs Netherlands,Netherlands
Colin Ackermann,0,2,2,0,0,0.00,Namibia vs Netherlands,Netherlands
Scott Edwards (c)†,1,5,5,0,0,20.00,Namibia vs Netherlands,Netherlands
Tim Pringle,8,9,14,0,0,88.88,Namibia vs Netherlands,Netherlands
Pathum Nissanka,74,60,105,6,2,123.33,Sri Lanka vs United Arab Emirates,Sri Lanka
Kusal Mendis †,18,13,24,2,0,138.46,Sri Lanka vs United Arab Emirates,Sri Lanka
Dhananjaya de Silva,33,21,30,3,1,157.14,Sri Lanka vs United Arab Emirates,Sri Lanka
Bhanuka Rajapaksa,5,8,19,0,0,62.50,Sri Lanka vs United Arab Emirates,Sri Lanka
Charith Asalanka,0,1,2,0,0,0.00,Sri Lanka vs United Arab Emirates,Sri Lanka
Dasun Shanaka (c),0,1,2,0,0,0.00,Sri Lanka vs United Arab Emirates,Sri Lanka
Wanindu Hasaranga de Silva,2,3,3,0,0,66.66,Sri Lanka vs United Arab Emirates,Sri Lanka
Chamika Karunaratne,8,11,22,1,0,72.72,Sri Lanka vs United Arab Emirates,Sri Lanka
Pramod Madushan,1,1,4,0,0,100.00,Sri Lanka vs United Arab Emirates,Sri Lanka
Dushmantha Chameera,1,1,2,0,0,100.00,Sri Lanka vs United Arab Emirates,Sri Lanka
Muhammad Waseem,2,4,13,0,0,50.00,Sri Lanka vs United Arab Emirates,United Arab Emirates
Chirag Suri,14,19,31,3,0,73.68,Sri Lanka vs United Arab Emirates,United Arab Emirates
Aryan Lakra,1,3,4,0,0,33.33,Sri Lanka vs United Arab Emirates,United Arab Emirates
Chundangapoyil Rizwan (c),1,3,8,0,0,33.33,Sri Lanka vs United Arab Emirates,United Arab Emirates
Vriitya Aravind †,9,18,26,1,0,50.00,Sri Lanka vs United Arab Emirates,United Arab Emirates
Basil Hameed,2,6,14,0,0,33.33,Sri Lanka vs United Arab Emirates,United Arab Emirates
Aayan Afzal Khan,19,21,33,1,0,90.47,Sri Lanka vs United Arab Emirates,United Arab Emirates
Kashif Daud,0,4,8,0,0,0.00,Sri Lanka vs United Arab Emirates,United Arab Emirates
Karthik Meiyappan,4,8,11,0,0,50.00,Sri Lanka vs United Arab Emirates,United Arab Emirates
Junaid Siddique,18,16,22,1,1,112.50,Sri Lanka vs United Arab Emirates,United Arab Emirates
Zahoor Khan,1,1,15,0,0,100.00,Sri Lanka vs United Arab Emirates,United Arab Emirates
George Munsey,1,2,9,0,0,50.00,Scotland vs Ireland,Scotland
Michael Jones,86,55,95,6,4,156.36,Scotland vs Ireland,Scotland
Matthew Cross †,28,21,33,5,0,133.33,Scotland vs Ireland,Scotland
